age, male, mnum, mlife_exp, female, fnum, flife_exp
0, 0.005837, 100000, 74.12, 0.004907, 100000, 79.78
1, 0.000410, 99416, 73.55, 0.000316, 99509, 79.17
2, 0.000254, 99376, 72.58, 0.000196, 99478, 78.19
3, 0.000207, 99350, 71.60, 0.000160, 99458, 77.21
4, 0.000167, 99330, 70.62, 0.000129, 99442, 76.22
5, 0.000141, 99313, 69.63, 0.000109, 99430, 75.23
6, 0.000123, 99299, 68.64, 0.000100, 99419, 74.24
7, 0.000113, 99287, 67.65, 0.000096, 99409, 73.25
8, 0.000108, 99276, 66.65, 0.000092, 99399, 72.25
9, 0.000114, 99265, 65.66, 0.000089, 99390, 71.26
10, 0.000127, 99254, 64.67, 0.000092, 99381, 70.27
11, 0.000146, 99241, 63.68, 0.000104, 99372, 69.27
12, 0.000174, 99227, 62.69, 0.000123, 99362, 68.28
13, 0.000228, 99209, 61.70, 0.000145, 99349, 67.29
14, 0.000312, 99187, 60.71, 0.000173, 99335, 66.30
15, 0.000435, 99156, 59.73, 0.000210, 99318, 65.31
16, 0.000604, 99113, 58.76, 0.000257, 99297, 64.32
17, 0.000814, 99053, 57.79, 0.000314, 99271, 63.34
18, 0.001051, 98972, 56.84, 0.000384, 99240, 62.36
19, 0.001250, 98868, 55.90, 0.000440, 99202, 61.38
20, 0.001398, 98745, 54.97, 0.000485, 99159, 60.41
21, 0.001524, 98607, 54.04, 0.000533, 99111, 59.44
22, 0.001612, 98456, 53.12, 0.000574, 99058, 58.47
23, 0.001682, 98298, 52.21, 0.000617, 99001, 57.50
24, 0.001747, 98132, 51.30, 0.000655, 98940, 56.54
25, 0.001812, 97961, 50.39, 0.000700, 98875, 55.58
26, 0.001884, 97783, 49.48, 0.000743, 98806, 54.61
27, 0.001974, 97599, 48.57, 0.000796, 98732, 53.66
28, 0.002070, 97406, 47.66, 0.000851, 98654, 52.70
29, 0.002172, 97205, 46.76, 0.000914, 98570, 51.74
30, 0.002275, 96994, 45.86, 0.000976, 98480, 50.79
31, 0.002368, 96773, 44.97, 0.001041, 98383, 49.84
32, 0.002441, 96544, 44.07, 0.001118, 98281, 48.89
33, 0.002517, 96308, 43.18, 0.001186, 98171, 47.94
34, 0.002590, 96066, 42.29, 0.001241, 98055, 47.00
35, 0.002673, 95817, 41.39, 0.001306, 97933, 46.06
36, 0.002791, 95561, 40.50, 0.001386, 97805, 45.12
37, 0.002923, 95294, 39.62, 0.001472, 97670, 44.18
38, 0.003054, 95016, 38.73, 0.001549, 97526, 43.24
39, 0.003207, 94725, 37.85, 0.001637, 97375, 42.31
40, 0.003333, 94422, 36.97, 0.001735, 97215, 41.38
41, 0.003464, 94107, 36.09, 0.001850, 97047, 40.45
42, 0.003587, 93781, 35.21, 0.001950, 96867, 39.52
43, 0.003735, 93445, 34.34, 0.002072, 96678, 38.60
44, 0.003911, 93096, 33.46, 0.002217, 96478, 37.68
45, 0.004137, 92732, 32.59, 0.002383, 96264, 36.76
46, 0.004452, 92348, 31.73, 0.002573, 96035, 35.85
47, 0.004823, 91937, 30.87, 0.002777, 95788, 34.94
48, 0.005214, 91493, 30.01, 0.002984, 95522, 34.04
49, 0.005594, 91016, 29.17, 0.003210, 95237, 33.14
50, 0.005998, 90507, 28.33, 0.003476, 94931, 32.24
51, 0.006500, 89964, 27.50, 0.003793, 94601, 31.35
52, 0.007081, 89380, 26.67, 0.004136, 94242, 30.47
53, 0.007711, 88747, 25.86, 0.004495, 93852, 29.59
54, 0.008394, 88062, 25.06, 0.004870, 93430, 28.72
55, 0.009109, 87323, 24.27, 0.005261, 92975, 27.86
56, 0.009881, 86528, 23.48, 0.005714, 92486, 27.01
57, 0.010687, 85673, 22.71, 0.006227, 91958, 26.16
58, 0.011566, 84757, 21.95, 0.006752, 91385, 25.32
59, 0.012497, 83777, 21.21, 0.007327, 90768, 24.49
60, 0.013485, 82730, 20.47, 0.007926, 90103, 23.67
61, 0.014595, 81614, 19.74, 0.008544, 89389, 22.85
62, 0.015702, 80423, 19.03, 0.009173, 88625, 22.04
63, 0.016836, 79160, 18.32, 0.009841, 87812, 21.24
64, 0.017908, 77828, 17.63, 0.010529, 86948, 20.45
65, 0.018943, 76434, 16.94, 0.011265, 86032, 19.66
66, 0.020103, 74986, 16.26, 0.012069, 85063, 18.88
67, 0.021345, 73479, 15.58, 0.012988, 84037, 18.10
68, 0.022750, 71910, 14.91, 0.014032, 82945, 17.34
69, 0.024325, 70274, 14.24, 0.015217, 81781, 16.58
70, 0.026137, 68565, 13.59, 0.016634, 80537, 15.82
71, 0.028125, 66773, 12.94, 0.018294, 79197, 15.08
72, 0.030438, 64895, 12.30, 0.020175, 77748, 14.36
73, 0.033249, 62919, 11.67, 0.022321, 76180, 13.64
74, 0.036975, 60827, 11.05, 0.025030, 74479, 12.94
75, 0.040633, 58578, 10.46, 0.027715, 72615, 12.26
76, 0.044710, 56198, 9.88, 0.030631, 70603, 11.60
77, 0.049152, 53685, 9.32, 0.033900, 68440, 10.95
78, 0.054265, 51047, 8.77, 0.037831, 66120, 10.31
79, 0.059658, 48277, 8.25, 0.042249, 63618, 9.70
80, 0.065568, 45397, 7.74, 0.047148, 60931, 9.10
81, 0.072130, 42420, 7.25, 0.052545, 58058, 8.53
82, 0.079691, 39360, 6.77, 0.058685, 55007, 7.98
83, 0.088578, 36224, 6.31, 0.065807, 51779, 7.44
84, 0.098388, 33015, 5.88, 0.074052, 48372, 6.93
85, 0.109139, 29767, 5.47, 0.083403, 44790, 6.44
86, 0.120765, 26518, 5.07, 0.093798, 41054, 5.99
87, 0.133763, 23316, 4.70, 0.104958, 37203, 5.55
88, 0.148370, 20197, 4.35, 0.117435, 33299, 5.15
89, 0.164535, 17200, 4.02, 0.131540, 29388, 4.76
90, 0.182632, 14370, 3.72, 0.146985, 25522, 4.41
91, 0.202773, 11746, 3.44, 0.163592, 21771, 4.08
92, 0.223707, 9364, 3.18, 0.181562, 18209, 3.78
93, 0.245124, 7269, 2.96, 0.200724, 14903, 3.51
94, 0.266933, 5487, 2.75, 0.219958, 11912, 3.27
95, 0.288602, 4023, 2.57, 0.239460, 9292, 3.05
96, 0.309781, 2862, 2.42, 0.258975, 7067, 2.85
97, 0.330099, 1975, 2.28, 0.278225, 5237, 2.68
98, 0.349177, 1323, 2.15, 0.296912, 3780, 2.52
99, 0.366635, 861, 2.04, 0.314727, 2657, 2.37
100, 0.384967, 545, 1.93, 0.333610, 1821, 2.23
101, 0.404215, 335, 1.83, 0.353627, 1214, 2.09
102, 0.424426, 200, 1.73, 0.374844, 784, 1.96
103, 0.445648, 115, 1.63, 0.397335, 490, 1.84
104, 0.467930, 64, 1.54, 0.421175, 296, 1.72
105, 0.491326, 34, 1.45, 0.446446, 171, 1.61
106, 0.515893, 17, 1.36, 0.473232, 95, 1.50
107, 0.541687, 8, 1.28, 0.501626, 50, 1.40
108, 0.568772, 4, 1.20, 0.531724, 25, 1.30
109, 0.597210, 2, 1.13, 0.563627, 12, 1.21
110, 0.627071, 1, 1.05, 0.597445, 5, 1.12
111, 0.658424, 0, 0.98, 0.633292, 2, 1.03
112, 0.691346, 0, 0.92, 0.671289, 1, 0.95
113, 0.725913, 0, 0.85, 0.711567, 0, 0.88
114, 0.762209, 0, 0.79, 0.754261, 0, 0.80
115, 0.800319, 0, 0.74, 0.799516, 0, 0.74
116, 0.840335, 0, 0.68, 0.840335, 0, 0.68
117, 0.882352, 0, 0.63, 0.882352, 0, 0.63
118, 0.926469, 0, 0.58, 0.926469, 0, 0.58
119, 0.972793, 0, 0.53, 0.972793, 0, 0.53
